filename,platform,prompt_tokens,completion_tokens,total_time_sec,tokens_per_second,valid_json
2601.14124v1_Style Transfer as Bias Mitigation Diffusion Models.pdf,AMD RX 6800 (Vulkan),844,124,4.6933910846710205,26.42012944648777,True
2601.14152v1_Lost in the Prompt Order Revealing the Limitations.pdf,AMD RX 6800 (Vulkan),981,137,5.213827610015869,26.276281121535398,True
2601.14154v1_LLM Augmented Intervenable Multimodal Adaptor for .pdf,AMD RX 6800 (Vulkan),885,168,6.14331841468811,27.346783718442367,True
2601.14157v1_ConceptCaps -- a Distilled Concept Dataset for Int.pdf,AMD RX 6800 (Vulkan),869,166,6.048260688781738,27.445906937823526,True
2601.14160v1_Domain-Adaptation through Synthetic Data Fine-Tuni.pdf,AMD RX 6800 (Vulkan),894,168,6.138598918914795,27.367808553568064,True
2601.14171v1_Paper2Rebuttal A Multi-Agent Framework for Transpa.pdf,AMD RX 6800 (Vulkan),979,142,5.4158935546875,26.21912682849866,True
2601.14172v1_Human Values in a Single Sentence Moral Presence H.pdf,AMD RX 6800 (Vulkan),621,144,5.040968656539917,28.565938376383503,True
2601.14175v1_A model of errors in transformers.pdf,AMD RX 6800 (Vulkan),1030,95,3.910672426223755,24.292497464875733,True
2601.14192v1_Toward Efficient Agents Memory Tool learning and P.pdf,AMD RX 6800 (Vulkan),677,209,7.317643404006958,28.561107512502844,True
2601.14209v1_InT Self-Proposed Interventions Enable Credit Assi.pdf,AMD RX 6800 (Vulkan),819,137,5.166506290435791,26.51695213332338,True
2601.14230v1_MASCOT Towards Multi-Agent Socio-Collaborative Com.pdf,AMD RX 6800 (Vulkan),897,141,5.400039196014404,26.110921584433605,True
2601.14232v1_KAGE-Bench Fast Known-Axis Visual Generalization E.pdf,AMD RX 6800 (Vulkan),964,172,6.451842784881592,26.659050093880527,True
2601.14234v1_Q-learning with Adjoint Matching.pdf,AMD RX 6800 (Vulkan),941,144,5.5248703956604,26.06395981942077,True
2601.14235v1_Opportunities in AIML for the Rubin LSST Dark Ener.pdf,AMD RX 6800 (Vulkan),1445,542,19.590014696121216,27.66715637570782,True
2601.14242v1_APEX-Agents.pdf,AMD RX 6800 (Vulkan),844,307,10.843454360961914,28.312011078798534,True
2601.14255v1_VideoMaMa Mask-Guided Video Matting via Generative.pdf,AMD RX 6800 (Vulkan),598,150,5.221529722213745,28.727213667263253,True
